,ICICI_Prudential_Mutual_Fund.csv,Tata_Mutual_Fund.csv,Sundaram_Mutual_Fund.csv,HDFC_Mutual_Fund.csv,SBI_Mutual_Fund.csv,Reliance_Mutual_Fund.csv,Aditya_Birla_Sun_Life_Mutual_Fund.csv,UTI_Mutual_Fund.csv
13,ICICI Prudential Focused Bluechip Equity Fund,Tata Equity P/E Fund Regular Plan (Dividend Trigger Option B,Sundaram PSU Opportunities Dividend Option,HDFC Index Fund Sensex Plan,SBI Magnum MIDCAP FUND,Reliance Media & Entertainment Fund,Aditya Birla Sun Life India Reforms Fund,UTI Spread Fund
14,ICICI Prudential Indo Asia Equity Fund,Tata Ethical Fund,Sundaram Rural India Fund Dividend,HDFC Index Fund Sensex Plus Plan,SBI Magnum Multicap Fund,Reliance Mid & Small Cap Fund,Aditya Birla Sun Life Infrastructure Fund,
15,ICICI Prudential Infrastructure Fund,Tata Ethical Fund Regular Plan,Sundaram Rural India Fund Inst Dividend,HDFC Index FundSensex Plan( FV Rs 32.161),SBI Magnum Multiplier Fund,Reliance NRI Equity Fund,Aditya Birla Sun Life International Equity Fund,
16,ICICI Prudential MidCap Fund,Tata Growing Economies Infrastructure Fund Scheme A,Sundaram S.M.I.L.E Fund,HDFC Infrastructure Fund,SBI NIFTY INDEX FUND,Reliance Natural Resources Fund,Aditya Birla Sun Life Long Term Advantage,
17,ICICI Prudential Multicap Fund,Tata Growing Economies Infrastructure Fund Scheme A Plan A,Sundaram Select Focus,HDFC Large Cap Fund,SBI PHARMA,Reliance Pharma Fund,Aditya Birla Sun Life Long Term Fund,
18,ICICI Prudential Nifty Index Fund,Tata Growing Economies Infrastructure Fund Scheme B,Sundaram Select Mid Cap,HDFC MID,SBI PSU Fund,Reliance Quant Plus Fund,Aditya Birla Sun Life MIDCAP Fund,
19,ICICI Prudential Nifty Next 50 Index Fund,Tata Growing Economies Infrastructure Fund Scheme B Plan A,Sundaram Select Midcap,HDFC Mid Cap Opportunities Fund,SBI Smal & Midcap,Reliance Regular Savings Fund,Aditya Birla Sun Life MNC Fund,
20,ICICI Prudential Select Large Cap Fund,Tata Index Fund,Sundaram Select Thematic Funds Capex Opportunities,HDFC Premier Multi,SBI Small & Midcap,Reliance Retirement Fund,Aditya Birla Sun Life Manufacturing Equity Fund,
21,ICICI Prudential Sensex Index Fund,Tata India Consumer Fund,Sundaram Select Thematic Funds Energy Opportunities,HDFC Premier Multicap,,Reliance Small Cap Fund,Aditya Birla Sun Life Midcap Fund,
22,ICICI Prudential Technology Fund,Tata India Pharma & Healthcare Fund,Sundaram Select Thematic Funds PSU Opportunities,HDFC Retirement Savings Fund,,Reliance Top 200 Fund,Aditya Birla Sun Life New Millenium Fund,
23,ICICI Prudential Top 100 Fund,Tata Indo-Global Infrastructure Fund Plan A,Sundaram Select Thematic Funds Rural India Fund,HDFC Small Cap Fund,,Reliance US Equity Opportunites Fund,Aditya Birla Sun Life Pure Value Fund,
24,ICICI Prudential US Bluechip Equity Fund,Tata Infrastructure Fund,Sundaram Smart Nifty 100 Equal Weight Fund,HDFC Top 200 Fund,,Reliance Vision Fund,Aditya Birla Sun Life Small & Midcap Fund,
25,ICICI Prudential Value Discovery Fund,Tata Large Cap Fund,,,,Reliance Vision Fund Institutional Dividend Plan,Aditya Birla Sun Life Special Situations Fund,
26,,Tata Large Cap Fund Regular Plan,,,,,Aditya Birla Sun Life Top 100 Fund,
27,,Tata Mid Cap Growth Fund,,,,,Birla Sun Life Commodities Equities Fund Global Multi Commodity Plan,
28,,Tata Mid Cap Growth Fund Regular Plan,,,,,Birla Sun Life Commodities Equities Fund Global Precious Metals Plan,
29,,Tata Regular Savings Equity Fund,,,,,Bsl Comm Eq Fund,
30,,Tata Regular Savngs Equity Fund,,,,,,
31,,Tata Resources & Energy Fund,,,,,,
32,,Tata Retirement Savings Fund,,,,,,
33,,Tata Retirement Savings Fund Moderate,,,,,,
34,,Tata Indo-Global Infrastructure Fund,,,,,,
35,,,,,,,,
